City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Minab,IR,2022-08-05 18:09:02,27.1467,57.0801,91.69,65,0,3.62
283,Kavieng,PG,2022-08-05 18:09:03,-2.5744,150.7967,80.83,73,100,5.79
284,Pangody,RU,2022-08-05 18:09:03,65.85,74.4859,62.71,57,59,8.05
285,Cap Malheureux,MU,2022-08-05 18:09:03,-19.9842,57.6142,70.47,70,2,4.0
286,Yeppoon,AU,2022-08-05 18:09:04,-23.1333,150.7333,64.18,94,1,3.6
287,Taltal,CL,2022-08-05 18:09:04,-25.4,-70.4833,60.15,69,17,4.47
288,Catamarca,AR,2022-08-05 18:09:05,-28.4696,-65.7852,70.59,42,8,15.01
289,Kaspiyskiy,RU,2022-08-05 18:09:05,45.3929,47.3707,82.76,55,78,6.2
290,Ciorasti,RO,2022-08-05 18:09:05,45.4333,27.3,78.6,46,40,6.67
291,Cabra,ES,2022-08-05 18:09:06,37.4725,-4.4421,93.81,19,0,13.31
292,Axim,GH,2022-08-05 18:09:06,4.8699,-2.2405,75.49,73,32,8.28
293,Pijijiapan,MX,2022-08-05 18:09:06,15.7011,-93.23,88.86,58,99,7.9
